SKU,Parent,Author,Brand,Gender,Closure,Model,Type,Colour,Country_Manu,Upper_Mat,Lining_Mat,Insole_Mat,Heel_Height,Weight,Height,Length,Depth,PurchaseOrder,Label,Kids_Sizes,Adult_Sizes,submit,csrf_token
36,Parent36,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,2,2,True,
36,Parent36,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,3,,True,
36,Parent36,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,4,,True,
36,Parent36,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,5,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,2,2,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,3,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,4,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,5,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,2,2,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,3,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,4,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,5,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,2,2,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,3,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,4,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,5,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,2,2,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,3,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,4,,True,
36,,,test,Female,test,2345425,test,test,test,Leather,test,test,1.0,1.0,1.0,1.0,1.0,12,test,5,,True,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,Parent36,,,,,,,,,,,,,,,,,,,,,,
,nan,,,,,,,,,,,,,,,,,,,,,,
